keyvar;school;type_sch;sec_lev;respnum;v01;v02;v03;v04;v05;v0601;v0602;v0603;v0604;v0605;v0606;v0607;v0607a;v07;v080;v081;v082;v083;v084;v085;v08a;v090;v091;v092;v093;v09a;v1001;v1002;v1003;v1004;v1005;v1006;v11;v12;v130;v131;v132;v133;v13a;v140;v141;v142;v143;v14a;v150;v151;v152;v153;v15a;v160;v161;v162;v163;v16a;v170;v171;v172;v173;v17a;v18;v19;v20;v21;v2201;v2202;v2203;v2204;v2205;v2206;v2207;v2207a;v23;v240;v241;v242;v243;v25;v26;v27;v28a0;v28a1;v28a2;v28b0;v28b1;v28b2;v28c0;v28c1;v28c2;v2901;v2902;v2903;v2904;v30;v31;v32;v33;v34;v35;v360;v361;v37;v37_1;v37a;v37a1;v37b;v37b1;v38;v3901;v3902;v3903;v3904;v3905;v3906;v3907;v3908;v4001;v4002;v4003;v4004;v41;v42;v43;v44;v4501;v4502;v4503;v4504;v4505;v4506;v4507;v4508;v4509;v46;v47;v48;v48a;v49;v49a;v50;v50a;v5101;v5102;v5103;v5104;v5105;v5201;v5202;v5203;v5301;v5302;v5303;v5304;v5305;v5306;v54;v54a;v54b;v55;v55a;v55b;v56;v56a;v56b;v57;v57a;v57b;v58;v58a;v58b;v59;v59a;v59b;v60;v60a;v60b;del_ern;crime_types;unsafe_nh;ethnicity;dutch;surinam_antillian;moroccan_turkish
1001;55;13;4;5513401;2;5;4;3;3;1;2;1;1;3;2;2; ;2;2;3;0;0;0;0;0;1;0;0;0;0;2;1;1;1;2;2;2;2;7;9;0;0;0;8;0;0;0;0;8;0;0;0;0;2;8;0;0;0;7;0;0;0;0;2;3;6;6;2;1;1;2;1;1;2; ;1;8;0;0;0;1;1;13;1; ; ;1; ; ;1;3; ;0;1;0;0;4;2;2;5;2;2;1;0;1;1; ; ; ; ;1;2;2;2;1;1;1;1;1;4;2;4;4;2;1;3;3;1;1;1;1;3;3;3;5;3;2;1;2;12;1; ;2;12;1;1;2;2;1;4;2;4;5;3;7;2;4;2;1; ;1;1; ;1;2;11;2;1; ;1;1; ;1;1; ;1;1; ;1;0;1;2,6;1;1;0;0
1002;55;13;4;5513402;2;5;5;2;2;2;1;1;1;1;1;2; ;2;3;5;0;0;0;0;0;3;0;0;0;0;3;1;3;1;1;1;9;9;4;9;0;0;0;11;0;0;0;vond het niet erg;2;0;0;0;0;2;8;0;0;de ruziezoeker;2;0;0;0;0;2;2;6;6;2;1;2;1;1;4;2; ;3;6;9;0;0;3;3;13;1; ; ;1; ; ;3; ; ;0;0;0;1;3;2;2;4;99;9; ; ;1;1; ; ; ; ;1;4;3;3;1;1;4;3;1;4;3;4;2;1;3;4;3;2;4;2;5;4;3;3;5;4;2;1;1; ;1; ;2;10;3;2;2;2;2;4;2;4;3;1;7;1;7;3;1; ;1;1; ;1;1; ;1;2;10;2;1; ;1;1; ;1;1; ;1;0;1;2,2; ; ; ; 
1004;55;13;4;5513404;1;4;4;3;4;4;2;1;2;5;5;1;buitengesloten, uit-maken voor dikzak;7;2;4;5;6;9;0;0;1;5;0;0;plagen op de manege;2;2;1;2;2;2;4;4;4;5;7;8;niet huilen id. doen;2;3;5;6;0;3;5;6;9;0;2;0;0;0;0;4;8;9;0;hartsvriendin;6;6;3;6;1;1;1;1;1;2;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1;3; ;1;1;0;0;4;2;2;4;2;2;1;0;1;1; ; ; ; ;1;3;2;2;1;1;1;1;1;5;4;5;3;1;2;3;3;2;4;3;4;2;4;4;4;4;2;1;1; ;1; ;1; ;2;3;3;3;1;3;3;3;3;2;7;4;7;6;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2,4;1;1;0;0
1005;55;13;4;5513405;2;4;5;1;1;1;1;1;1;1;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;2;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;2;1;1;2;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;3; ; ;0;1;0;0;8;2;2;8;3;2;1;0;1;1; ; ; ; ;1;2;2;5;3;2;2;3;2;4;4;4;4;2;2;3;3;2;4;2;3;5;5;5;5;5;3;2;1; ;1; ;1; ;2;3;1;3;2;3;3;3;6;1;2;2;1;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
1007;55;13;4;5513407;2;4;5;2;2;1;1;1;1;1;2;2; ;2;4;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;3;4;2;6;0;0;0;0;3;5;8;0;0;2;0;0;0;0;8;0;0;0;0;8;0;0;0;0;2;2;2;5;3;1;1;1;1;1;2; ;4;4;0;0;0;2;2;12;1; ; ;1; ; ;3; ; ;0;0;0;1;8;2;2;4;2;2;1;0;2;1; ; ; ; ;1;4;4;3;3;1;1;5;3;4;3;4;3;2;1;3;3;1;5;1;1;4;4;4;4;5;3;2;2;10;1; ;2;9;1;2;3;3;2;3;2;3;3;2;6;1;7;2;1; ;1;1; ;1;1; ;1;2;10;2;1; ;1;1; ;1;1; ;1;0;1;1,8;1;1;0;0
1008;55;13;4;5513408;1;4;3;3;2;2;1;1;1;1;1;2; ;2;2;0;0;0;0;0;0;3;0;0;0;0;1;3;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;2;1;1;1;1;2;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;3; ; ;0;0;0;1;3;2;2;4;3;2;1;0;2;4; ; ; ; ;3;3;1;3;2;1;3;4;2;5;2;5;3;2;1;1;3;1;2;4;2;3;5;5;3;3;1;2;1; ;1; ;2;12;2;2;1;3;2;3;3;3;3;5;4;2;4;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;2;10;1;1;1;2,2;1;1;0;0
1009;55;13;4;5513409;1;4;4;3;2;1;2;1;1;1;1;1;voor de lol verkering vragen aan ander;1;3;4;0;0;0;0;0;1;0;0;0;0;1;2;1;1;1;1;3;2;5;6;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;9;0;0;0;een buitenstaander;2;3;3;3;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;5; ; ;0;1;0;0;6;2;1;2;4;5;1;0;8;1; ; ; ; ;1;2;3;2;1;1;1;3;3;5;3;5;2;1;1;4;3;3;5;1;2;4;4;4;4;4;2;3;1; ;1; ;1; ;2;2;2;3;1;3;3;3;3;1;3;1;5;3;2;13;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;2;1;1;0;0
1010;55;13;4;5513410;1;4;2;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1; ; ;1;0;0;0;8;2;2;8;3;2;1;0;2;1; ; ; ; ;2;2;1;3;2;1;1;3;1;4;4;4;4;2;2;3;3;3;5;1;2;5;5;5;4;4;2;1;1; ;1; ;1; ;2;2;1;3;2;3;3;3;4;1;6;1;4;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,4;1;1;0;0
1011;55;13;4;5513411;1;4;2;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;3; ; ;0;1;0;2;8;2;2;8;3;2;1;0;2;1; ; ; ; ;3;2;1;3;2;1;1;3;2;5;5;5;5;2;2;3;3;5;3;5;5;4;5;5;4;5;2;1;1; ;1; ;1; ;2;2;1;3;3;3;3;3;6;3;2;3;7;3;1; ;1;1; ;1;1; ;1;2;12;1;1; ;1;1; ;1;1; ;1;0;1;1,4;1;1;0;0
1012;55;13;4;5513412;1;4;5;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;2;1;1;1;2;2;2; ;4;6;0;0;0;3;2;13;1; ; ;1; ; ;1; ; ;0;0;1;0;8;2;2;8;2;2;1;0;1;1; ; ; ; ;1;1;2;1;1;1;1;3;1;4;1;4;2;2;1;3;3;2;4;1;2;5;5;4;5;4;1;2;1; ;1; ;1; ;3;2;2;3;3;3;3;3;3;5;1;1;7;7;2;11;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;1,4;1;1;0;0
1014;55;13;4;5513414;1;4;4;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1;3; ;0;0;1;1;8;2;2;4;2;2;1;0;2;1; ; ; ; ;3;2;1;3;1;1;1;1;1;5;5;4;2;2;1;3;3;2;2;1;1;5;3;5;5;5;2;1;1; ;1; ;1; ;3;1;1;3;1;3;3;3;3;2;4;1;6;1;1; ;1;2;11;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;1,4;1;1;0;0
2001;0;71;0;71004;1;4;4;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;1;1;2;1;1;1;1;2; ;1;1;0;0;0;1;1;10;1; ; ;1; ; ;1;3; ;1;1;0;0;7;2;2;8;2;2;1;0;1;1; ; ; ; ;1;3;3;2;2;1;1;1;1;4;4;5;3;2;2;3;3;5;5;2;2;5;5;5;9;5;2;2;1; ;1; ;1; ;1;2;1;3;2;3;3;3;2;3;5;4;9;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
2003;0;71;0;71007;2;5;5;3;1;1;1;1;1;2;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;2;3;1;2;2;2;2; ;3;6;0;0;0;3;2;11;1;4; ;1; ; ;3; ; ;1;0;0;2;8;2;3;5;7;5;4;0;99;99; ; ; ; ;99;9;9;9;9;9;9;9;9;4;3;5;2;2;2;3;3;3;2;4;1;3;5;3;4;3;3;2;1; ;1; ;2;8;2;1;1;3;1;4;2;4;3;4;7;2;5;7;1; ;1;1; ;1;2;8;2;1; ;1;1; ;1;2;9;2;1; ;1;1;2;2,4;2;0;1;0
2004;0;71;0;71009;1;3;4;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;11;1; ; ;1; ; ;3; ; ;0;3;0;0;7;2;2;8;2;2;1;0;3;3; ; ; ; ;3;2;2;3;2;1;2;2;1;5;4;5;5;2;2;3;3;2;9;1;2;4;5;5;4;5;2;1;1; ;1; ;1; ;1;1;3;3;2;3;3;3;2;2;4;2;4;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,4;1;1;0;0
2006;0;71;0;71022;1;3;4;3;3;3;2;1;2;5;4;2; ;6;2;3;4;5;0;0;0;1;0;0;0;0;4;9;9;2;4;4;4;4;3;0;0;0;0;5;8;0;0;0;6;0;0;0;0;3;0;0;0;0;99;99;99;99;0;6;6;3;7;4;2;1;2;5;4;2; ;4;1;0;0;0;1;1;11;1; ; ;1; ; ;0; ; ;0;0;0;0;4;4;3;8;5;2;1;0;3;3; ; ; ; ;1;2;3;1;1;1;1;3;3;2;3;5;2;2;1;3;2;2;5;1;1;5;5;5;5;5;2;2;1; ;1; ;1; ;1;2;1;3;1;3;3;3;3;3;4;4;5;1;1; ;1;1; ;1;1; ;1;1; ;1;2;9;1;1; ;1;1; ;1;1;1;1;1;1;0;0
2007;0;71;0;71025;1;3;4;4;3;2;5;1;1;5;2;2; ;5;10;0;0;0;0;0;voorschooltijd pauze;1;0;0;0;0;1;2;1;1;2;1;4;4;8;10;0;0;de meester;2;3;6;0;0;3;6;7;0;0;8;0;0;0;de pestkoppen;2;0;0;0;0;5;5;3;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;10;1; ; ;1; ; ;1;3; ;1;1;1;0;8;2;5;8;4;5;4;0;8;8; ; ; ; ;1;2;1;5;1;5;5;5;3;3;3;5;5;2;2;4;3;5;5;5;3;5;5;5;5;5;3;3;1; ;1; ;1; ;0;3;1;3;3;2;4;4;3;2;4;1;3;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;2;9;2;1; ;1;1;1;1;2;0;1;0
2010;0;71;0;71028;2;4;3;3;1;1;1;1;1;1;1;2; ;1;10;0;0;0;0;0;andere buurt;5;0;0;0;0;1;1;1;1;1;9;2;2;10;0;0;0;iets terug doen;11;0;0;0;niets;3;6;0;0;0;2;0;0;0;0;99;99;99;99;99999999999999999998;1;6;2;6;1;1;1;1;1;1;2; ;9;99;99;99;99;1;3;10;1; ; ;1; ; ;1; ; ;1;0;0;0;7;2;2;6;2;2;1;0;4;4; ; ; ; ;5;1;1;2;1;1;1;3;1;4;9;9;2;2;2;3;3;2;2;1;1;5;5;5;4;4;2;2;1; ;1; ;1; ;2;2;1;3;9;4;1;4;2;2;5;1;6;6;1; ;1;1; ;1;9; ;9;1; ;1;1; ;1;1; ;1;1; ;1;0; ;1,4;1;1;0;0
2011;0;81;0;81001;1;4;3;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;2;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1; ; ;1;0;1;0;7;2;2;6;5;2;1;0;3;3; ; ; ; ;3;2;2;1;3;1;1;4;2;5;3;4;2;2;2;3;3;2;4;2;4;4;4;4;3;4;2;2;1; ;1; ;1; ;1;1;2;3;2;4;4;4;2;3;5;2;3;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2,2;1;1;0;0
2012;0;81;0;81002;1;5;3;2;1;1;2;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;2;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1;3; ;1;1;0;0;8;2;2;8;2;2;1;0;1;1; ; ; ; ;1;1;1;2;2;1;1;2;1;5;5;5;5;2;1;3;2;3;3;3;2;4;5;5;5;5;2;2;1; ;1; ;1; ;2;1;1;3;2;4;4;4;3;2;4;2;5;3;2;11;2;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;1,2;1;1;0;0
2014;0;81;0;81006;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;2;1;1;1;2;2;2;1;roddelen;4;4;6;9;0;3;3;13;1; ; ;0; ; ;3; ; ;0;0;0;2;1;1;1;3;5;2;1;0;1;1; ; ; ; ;2;1;1;3;2;1;2;4;4;4;2;3;2;1;1;4;2;4;5;4;3;3;5;5;3;5;2;1;2;13;1; ;2;13;3;3;3;3;1;3;1;4;3;9;6;3;7;3;2;11;1;2;13;2;2;13;2;1; ;1;1; ;1;1; ;1;2;12;1;1;4;1,8;1;1;0;0
2015;0;81;0;81008;2;4;5;2;1;2;5;1;1;2;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;3; ; ;0;0;0;1;8;2;2;8;5;9;1;0;1;1; ; ; ; ;1;3;1;3;1;1;1;1;1;5;5;5;2;2;1;3;3;2;3;2;2;5;5;3;4;4;2;2;1; ;1; ;1; ;2;1;9;3;1;4;2;4;2;1;2;1;7;3;1; ;1;1; ;1;1; ;1;1; ;1;2;99;1;1; ;1;1; ;1;1;1;1,8;1;1;0;0
2016;0;81;0;81010;2;5;4;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;5;0;0;0;1;1;11;1; ; ;1; ; ;3; ; ;0;1;0;0;8;2;2;8;5;2;1;0;1;1; ; ; ; ;1;2;3;4;1;1;1;2;2;5;4;5;4;2;1;3;3;2;3;1;1;5;5;5;3;3;2;2;1; ;1; ;1; ;1;1;1;3;1;4;2;4;3;3;2;1;5;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,8;1;1;0;0
2017;0;81;0;81011;1;5;5;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;3;9;0;0;0;2;2;12;1; ; ;1; ; ;1; ; ;0;0;1;0;4;2;2;4;2;2;1;0;1;1; ; ; ; ;1;2;1;1;2;1;1;2;1;5;5;5;2;2;1;3;2;3;4;4;1;4;5;4;5;4;2;2;1; ;1; ;1; ;1;2;2;2;2;4;3;4;2;2;4;1;5;3;1; ;1;1; ;1;1; ;1;2;12;2;1; ;1;1; ;1;2;12;2;1;2;1,6;1;1;0;0
2021;0;81;0;81016;1;5;5;2;1;1;2;1;1;1;1;2; ;2;1;0;0;0;0;0;0;1;0;0;0;0;9;9;9;9;9;9;9;9;9;10;0;0;negeren;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;4;3;2;1;1;2;1;2; ;2;6;0;0;0;1;1;11;1; ; ;1; ; ;1;3; ;1;1;0;0;8;2;2;8;2;2;1;0;1;1; ; ; ; ;1;2;1;2;3;1;1;2;2;4;4;5;2;2;1;3;3;1;2;1;1;2;4;3;5;4;2;1;1; ;1; ;1; ;1;1;2;3;2;3;2;4;2;2;6;2;7;3;1; ;1;2;99;2;1; ;1;1; ;1;1; ;1;1; ;1;2;99;2;1;2;2,4;1;1;0;0
2022;0;81;0;81013;2;4;3;4;3;4;2;1;1;2;2;2; ;9;99;99;99;99;99;99;99999999999999999999;9;9;9;9;99999999999999999999;1;1;1;1;2;1;4;2;5;0;0;0;0;99;99;99;99;99999999999999999999;6;7;0;0;0;99;99;99;99;0;2;0;0;0;0;6;6;1;5;2;2;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;3; ; ;0;1;0;0;7;2;2;8;2;2;1;0;1;1; ; ; ; ;1;2;1;4;2;3;3;4;3;5;5;1;1;2;2;3;2;3;2;2;5;3;5;5;4;4;3;1;1; ;1; ;1; ;3;2;2;2;2;3;3;3;2;1;3;2;4;6;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;2;12;2;1;1;1,8;1;1;0;0
2024;0;81;0;81018;1;4;4;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;2;1;1;1;2;2;2; ;1;5;0;0;0;1;1;12;1; ; ;1; ; ;1;4; ;0;0;1;1;7;2;2;5;5;2;1;0;3;3; ; ; ; ;3;2;2;2;3;1;1;1;1;5;3;5;2;2;1;3;3;1;4;1;2;3;5;4;5;4;1;1;1; ;1; ;1; ;2;2;2;2;2;4;3;4;2;3;2;3;4;6;1; ;1;1; ;1;1; ;1;2;10;1;1; ;1;1; ;1;2;10;2;1;2;1,8;1;1;0;0
2026;0;81;0;81020;2;5;5;2;2;2;1;2;1;1;1;1;dreigen;6;10;0;0;0;0;0;buiten school;6;0;0;0;verschillende plaats;3;2;1;1;1;1;3;2;4;0;0;0;0;7;0;0;0;0;6;8;0;0;0;9;0;0;0;de pestkoppen;2;0;0;0;0;2;3;3;6;3;1;2;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1; ; ;1;0;1;0;6;2;2;4;3;5;1;0;3;3; ; ; ; ;4;2;2;2;1;1;2;2;2;4;4;4;3;2;1;3;3;4;3;2;2;5;5;5;4;4;2;2;1; ;1; ;1; ;1;1;2;3;1;4;2;4;3;5;7;3;6;7;1; ;1;1; ;1;1; ;1;2;11;2;1; ;1;1; ;1;1; ;1;0;1;1,4;1;1;0;0
3001;19;71;0;1971001;2;5;3;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;9;9;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;11;1; ; ;1; ; ;1; ; ;1;0;1;0;8;2;2;8;2;5;1;0;2;2; ; ; ; ;1;3;2;4;2;1;2;4;1;4;2;5;3;2;2;3;3;1;3;2;4;5;5;5;5;5;3;2;1; ;1; ;2;9;1;1;2;2;2;4;3;4;3;1;4;2;5;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
3004;19;71;0;1971003;2;4;5;1;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;3;1;1;0;0;0;0;11;0;0;0;ik trek me niets aan;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;11;1; ; ;0; ; ;1; ; ;1;0;0;0;7;1;1;8;2;3;1;0;2;2; ; ; ; ;2;2;1;1;1;1;1;2;1;5;5;5;5;2;1;3;3;1;3;2;1;4;5;5;5;5;1;2;1; ;1; ;1; ;1;1;2;2;2;4;4;4;2;3;7;2;7;5;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,2;1;1;0;0
3007;19;71;0;1971006;2;4;3;2;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;2;1;1;2; ;1;1;0;0;0;1;1;11;1; ; ;1; ; ;3; ; ;0;1;0;3;7;2;2;7;5;2;1;0;2;2; ; ; ; ;5;1;1;3;1;1;1;3;1;3;5;5;2;2;1;3;3;2;2;1;1;4;2;5;5;3;2;2;1; ;1; ;1; ;1;1;2;3;2;3;3;3;2;2;4;2;5;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2,2;1;1;0;0
3010;19;71;0;1971009;1;3;5;3;2;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;9;0;0;de pester;1;0;0;0;0;1;1;1;6;1;1;1;1;2;1;2; ;1;1;7;0;0;3;1;11;1; ; ;1; ; ;1;3; ;1;1;0;0;8;2;2;8;3;2;1;0;2;2; ; ; ; ;3;2;2;1;3;1;1;4;4;4;5;5;1;2;2;3;3;2;2;1;3;4;5;3;4;3;2;2;1; ;1; ;2;6;1;2;2;2;2;4;3;4;2;4;2;3;7;4;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2,2;1;1;0;0
3011;19;71;0;1971010;2;5;4;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;2;0;0;0;0;1;1;4;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;2;1;1;1;1;1;2; ;1;1;0;0;0;1;1;11;1; ; ;1; ; ;3; ; ;0;0;0;1;8;2;2;8;2;2;1;0;2;2; ; ; ; ;3;2;3;2;1;1;1;3;2;4;5;5;2;2;2;3;3;2;2;2;3;4;1;3;3;3;2;2;1; ;1; ;2;9;1;2;3;2;2;4;4;4;2;2;2;2;5;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;3,2;1;1;0;0
3013;19;71;0;1971012;2;4;3;3;2;1;2;1;3;1;4;2; ;2;2;4;0;0;0;0;0;2;0;0;0;0;3;1;1;2;1;2;4;3;5;6;10;0;ik draai me om.;5;0;0;0;0;6;0;0;0;0;5;0;0;0;0;9;0;0;0;iedereen,behalve fam;6;6;3;6;1;2;1;2;1;1;2; ;4;5;0;0;0;2;2;11;1; ; ;1; ; ;1;3; ;0;0;2;1;8;2;2;8;2;2;1;0;1;1; ; ; ; ;3;1;1;2;1;1;2;3;1;4;3;5;2;2;2;2;3;1;2;1;1;3;1;4;2;4;2;1;1; ;1; ;2;8;1;3;3;2;2;4;3;4;2;5;2;3;5;4;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;3,2;1;1;0;0
3014;19;71;0;1971013;1;4;5;2;1;1;1;1;1;1;2;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;2;3;3;1;5;6;0;0;1;2;8;0;0;1;10;0;0;een vriendin;1;2;0;0;0;1;2;0;0;0;1;1;1;5;1;1;1;1;1;2;2; ;4;1;7;0;0;1;1;11;1; ; ;1; ; ;3; ; ;0;0;0;2;8;2;2;8;2;2;1;0;2;2; ; ; ; ;5;2;2;3;1;1;2;3;2;4;5;5;3;2;1;3;3;1;2;1;2;5;5;4;4;4;1;1;1; ;1; ;2;99;1;1;2;3;1;4;4;4;2;5;5;4;7;3;1; ;1;1; ;1;1; ;1;2;4;1;1; ;1;1; ;1;1; ;1;0;1;1,6;1;1;0;0
